dataset_index,attack_mode,region_space,sample_success,candidate_rank,candidate_is_probe_best,candidate_is_selected,candidate_in_budget,candidate_source,candidate_feedback_reward,candidate_best_success,candidate_best_score,candidate_selection_objective,candidate_probe_improvement,candidate_probe_scale,candidate_region_prior,active_set_size,active_set_stage_index,selected_region_rank,probe_best_rank,probe_second_rank,region_candidate_count,budget_region_ranks,region_size,region_state_ids,region_bus_ids,region_importance_mean,region_importance_max,region_flow_support_mean,region_corridor_centrality_mean,region_degree_mean,region_measurement_support_count,region_measurement_support_ratio,region_boundary_penalty,region_connectivity_score,graph_source,region_physical_saliency_mean,region_alignment_mean,region_proximity_mean,region_activity_mean,region_sparse_efficiency_mean
3,single_active_region_search,state,1,0,1,1,1,prior,0.0,0,7.574076175689697,7.574076175689697,55.66139364242554,105.00153808593751,0.1552044153213501,117,0,0,0,0,1,[0],117,"[18, 61, 111, 16, 14, 17, 60, 59, 63, 62, 58, 64, 67, 114, 29, 65, 37, 36, 33, 35, 34, 48, 66, 7, 4, 3, 8, 9, 10, 11, 6, 5, 55, 53, 54, 79, 78, 75, 76, 77, 80, 81, 94, 93, 92, 95, 98, 101, 102, 103, 104, 106, 107, 108, 110, 109, 105, 97, 46, 45, 47, 44, 43, 42, 49, 56, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 84, 85, 12, 13, 32, 15, 1, 0, 2, 57, 50, 51, 52, 25, 24, 22, 23, 31, 26, 112, 113, 30, 28, 27, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 41, 39, 40, 38, 115]","[19, 62, 113, 17, 15, 18, 61, 60, 64, 63, 59, 65, 68, 116, 30, 66, 38, 37, 34, 36, 35, 49, 67, 8, 5, 4, 9, 10, 11, 12, 7, 6, 56, 54, 55, 81, 80, 77, 78, 79, 82, 83, 96, 95, 94, 97, 100, 103, 104, 105, 106, 108, 109, 110, 112, 111, 107, 99, 47, 46, 48, 45, 44, 43, 50, 57, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 86, 87, 13, 14, 33, 16, 2, 1, 3, 58, 51, 52, 53, 26, 25, 23, 24, 32, 27, 114, 115, 31, 29, 28, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 42, 40, 41, 39, 117]",9245.865234375,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.2440039962530136,0.05015937238931656,0.07233314961194992,0.06651018559932709,0.11935625225305557
4,single_active_region_search,state,0,0,1,1,1,prior,0.0,0,151.67166137695312,151.67166137695312,27.87054443359375,114.91999511718751,0.1552044153213501,117,0,0,0,0,1,[0],117,"[67, 36, 24, 114, 33, 25, 29, 37, 64, 16, 35, 34, 7, 4, 3, 8, 9, 22, 23, 63, 62, 60, 59, 58, 61, 65, 48, 66, 111, 31, 26, 113, 112, 30, 28, 27, 14, 18, 17, 10, 11, 6, 5, 55, 53, 54, 79, 78, 75, 76, 77, 12, 13, 15, 32, 1, 0, 2, 47, 46, 45, 44, 43, 42, 49, 56, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 50, 57, 51, 52, 80, 81, 94, 93, 92, 98, 95, 101, 102, 103, 104, 106, 107, 108, 110, 109, 105, 97, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 84, 85, 41, 39, 40, 38, 115]","[68, 37, 25, 116, 34, 26, 30, 38, 65, 17, 36, 35, 8, 5, 4, 9, 10, 23, 24, 64, 63, 61, 60, 59, 62, 66, 49, 67, 113, 32, 27, 115, 114, 31, 29, 28, 15, 19, 18, 11, 12, 7, 6, 56, 54, 55, 81, 80, 77, 78, 79, 13, 14, 16, 33, 2, 1, 3, 48, 47, 46, 45, 44, 43, 50, 57, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 51, 58, 52, 53, 82, 83, 96, 95, 94, 100, 97, 103, 104, 105, 106, 108, 109, 110, 112, 111, 107, 99, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 86, 87, 42, 40, 41, 39, 117]",9245.8642578125,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.21848708391189575,0.031427763402462006,0.05751539394259453,0.051200296729803085,0.11935623735189438
5,single_active_region_search,state,0,0,1,1,1,prior,0.0,0,313.2040710449219,313.2040710449219,50.07464599609375,114.37965087890626,0.1552044153213501,117,0,0,0,0,1,[0],117,"[55, 6, 36, 5, 33, 53, 54, 11, 10, 4, 3, 35, 34, 7, 8, 9, 29, 37, 16, 111, 14, 18, 17, 12, 13, 15, 32, 2, 0, 1, 64, 67, 114, 63, 62, 58, 60, 59, 61, 65, 48, 66, 79, 78, 75, 76, 77, 47, 46, 45, 44, 43, 42, 49, 56, 25, 24, 22, 23, 31, 26, 112, 113, 30, 28, 27, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 50, 57, 51, 52, 80, 81, 94, 93, 92, 95, 98, 101, 103, 102, 104, 106, 107, 108, 110, 109, 105, 97, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 84, 85, 41, 39, 40, 38, 115]","[56, 7, 37, 6, 34, 54, 55, 12, 11, 5, 4, 36, 35, 8, 9, 10, 30, 38, 17, 113, 15, 19, 18, 13, 14, 16, 33, 3, 1, 2, 65, 68, 116, 64, 63, 59, 61, 60, 62, 66, 49, 67, 81, 80, 77, 78, 79, 48, 47, 46, 45, 44, 43, 50, 57, 26, 25, 23, 24, 32, 27, 114, 115, 31, 29, 28, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 51, 58, 52, 53, 82, 83, 96, 95, 94, 97, 100, 103, 105, 104, 106, 108, 109, 110, 112, 111, 107, 99, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 86, 87, 42, 40, 41, 39, 117]",9245.8642578125,59572.171875,0.5,0.1650799959897995,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.22583886981010437,0.028907576575875282,0.04731256142258644,0.042312487959861755,0.11935625225305557
8,single_active_region_search,state,1,0,1,1,1,prior,0.0,0,94.46812438964844,94.46812438964844,37.05363464355469,103.06458740234376,0.1552044302225113,117,0,0,0,0,1,[0],117,"[63, 56, 12, 10, 11, 55, 53, 54, 62, 58, 60, 59, 61, 64, 67, 114, 65, 48, 49, 4, 3, 66, 6, 5, 7, 8, 9, 29, 16, 14, 18, 17, 111, 37, 36, 33, 35, 34, 79, 78, 75, 76, 77, 47, 46, 45, 44, 43, 42, 13, 15, 32, 1, 0, 2, 25, 24, 22, 23, 31, 26, 112, 113, 30, 28, 27, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 50, 57, 51, 52, 80, 81, 94, 93, 92, 95, 98, 101, 102, 103, 104, 106, 107, 108, 110, 109, 105, 97, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 84, 85, 41, 39, 40, 38, 115]","[64, 57, 13, 11, 12, 56, 54, 55, 63, 59, 61, 60, 62, 65, 68, 116, 66, 49, 50, 5, 4, 67, 7, 6, 8, 9, 10, 30, 17, 15, 19, 18, 113, 38, 37, 34, 36, 35, 81, 80, 77, 78, 79, 48, 47, 46, 45, 44, 43, 14, 16, 33, 2, 1, 3, 26, 25, 23, 24, 32, 27, 114, 115, 31, 29, 28, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 51, 58, 52, 53, 82, 83, 96, 95, 94, 97, 100, 103, 104, 105, 106, 108, 109, 110, 112, 111, 107, 99, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 86, 87, 42, 40, 41, 39, 117]",9245.8642578125,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.21735583245754242,0.015312453731894493,0.016678662970662117,0.01519846636801958,0.11935623735189438
13,single_active_region_search,state,1,0,1,1,1,prior,0.0,0,86.60800170898438,86.60800170898438,12.96746826171875,102.24261474609375,0.1552044302225113,117,0,0,0,0,1,[0],117,"[59, 73, 61, 60, 63, 62, 58, 64, 67, 114, 116, 72, 74, 75, 76, 78, 77, 79, 68, 69, 71, 65, 48, 66, 55, 53, 54, 47, 46, 45, 44, 43, 42, 33, 36, 35, 34, 37, 29, 16, 111, 7, 4, 3, 8, 9, 14, 18, 17, 10, 11, 5, 6, 25, 24, 22, 23, 31, 26, 112, 113, 30, 28, 27, 70, 49, 56, 12, 13, 15, 32, 1, 0, 2, 21, 20, 19, 50, 57, 51, 52, 41, 39, 40, 38, 80, 81, 94, 93, 92, 95, 98, 101, 103, 102, 104, 106, 107, 108, 110, 109, 105, 97, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 84, 85, 115]","[60, 75, 62, 61, 64, 63, 59, 65, 68, 116, 118, 74, 76, 77, 78, 80, 79, 81, 70, 71, 73, 66, 49, 67, 56, 54, 55, 48, 47, 46, 45, 44, 43, 34, 37, 36, 35, 38, 30, 17, 113, 8, 5, 4, 9, 10, 15, 19, 18, 11, 12, 6, 7, 26, 25, 23, 24, 32, 27, 114, 115, 31, 29, 28, 72, 50, 57, 13, 14, 16, 33, 2, 1, 3, 22, 21, 20, 51, 58, 52, 53, 42, 40, 41, 39, 82, 83, 96, 95, 94, 97, 100, 103, 105, 104, 106, 108, 109, 110, 112, 111, 107, 99, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 86, 87, 117]",9245.8642578125,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.23587553203105927,0.03481466323137283,0.0773412436246872,0.07200117409229279,0.11935624480247498
14,single_active_region_search,state,1,0,1,1,1,prior,0.0,1,-18.002891540527344,-18.002891540527344,31.818663597106934,103.330419921875,0.1552044302225113,117,0,0,0,0,1,[0],117,"[47, 30, 98, 48, 28, 27, 26, 31, 113, 112, 65, 64, 67, 114, 63, 62, 60, 59, 61, 58, 66, 55, 53, 54, 79, 78, 75, 76, 77, 16, 111, 29, 37, 36, 33, 35, 34, 14, 18, 17, 7, 4, 3, 8, 9, 10, 11, 6, 5, 46, 45, 44, 43, 42, 49, 56, 12, 24, 25, 22, 23, 13, 101, 92, 93, 94, 80, 81, 95, 102, 103, 104, 106, 107, 108, 110, 109, 105, 97, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 84, 85, 15, 32, 1, 0, 2, 41, 39, 40, 38, 50, 57, 51, 52, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 115]","[48, 31, 100, 49, 29, 28, 27, 32, 115, 114, 66, 65, 68, 116, 64, 63, 61, 60, 62, 59, 67, 56, 54, 55, 81, 80, 77, 78, 79, 17, 113, 30, 38, 37, 34, 36, 35, 15, 19, 18, 8, 5, 4, 9, 10, 11, 12, 7, 6, 47, 46, 45, 44, 43, 50, 57, 13, 25, 26, 23, 24, 14, 103, 94, 95, 96, 82, 83, 97, 104, 105, 106, 108, 109, 110, 112, 111, 107, 99, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 86, 87, 16, 33, 2, 1, 3, 42, 40, 41, 39, 51, 58, 52, 53, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 117]",9245.865234375,59572.171875,0.5,0.1650799959897995,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.3462844491004944,0.039141181856393814,0.02390156127512455,0.021640626713633537,0.11935625225305557
16,single_active_region_search,state,1,0,1,1,1,prior,0.0,1,-14.887571334838867,-14.887571334838867,32.43008613586426,103.57088623046876,0.1552044153213501,117,0,0,0,0,1,[0],117,"[75, 59, 62, 60, 63, 76, 58, 61, 77, 78, 64, 67, 114, 79, 65, 48, 66, 55, 53, 54, 47, 45, 46, 44, 43, 42, 33, 36, 35, 34, 37, 29, 16, 7, 4, 3, 8, 9, 10, 11, 6, 5, 111, 14, 18, 17, 49, 56, 15, 13, 12, 32, 1, 0, 2, 25, 24, 22, 23, 31, 26, 112, 113, 30, 28, 27, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 50, 57, 51, 52, 80, 81, 94, 93, 92, 95, 98, 101, 102, 103, 104, 106, 107, 108, 110, 109, 105, 97, 82, 83, 86, 87, 90, 91, 88, 89, 100, 99, 84, 85, 96, 38, 39, 40, 41, 115]","[77, 60, 63, 61, 64, 78, 59, 62, 79, 80, 65, 68, 116, 81, 66, 49, 67, 56, 54, 55, 48, 46, 47, 45, 44, 43, 34, 37, 36, 35, 38, 30, 17, 8, 5, 4, 9, 10, 11, 12, 7, 6, 113, 15, 19, 18, 50, 57, 16, 14, 13, 33, 2, 1, 3, 26, 25, 23, 24, 32, 27, 114, 115, 31, 29, 28, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 51, 58, 52, 53, 82, 83, 96, 95, 94, 97, 100, 103, 104, 105, 106, 108, 109, 110, 112, 111, 107, 99, 84, 85, 88, 89, 92, 93, 90, 91, 102, 101, 86, 87, 98, 39, 40, 41, 42, 117]",9245.8642578125,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.3114069998264313,0.052971482276916504,0.07468290627002716,0.06780610978603363,0.11935625225305557
17,single_active_region_search,state,0,0,1,1,1,prior,0.0,0,173.66053771972656,173.66053771972656,43.12297058105469,106.50197753906251,0.1552044153213501,117,0,0,0,0,1,[0],117,"[55, 111, 25, 16, 24, 29, 53, 54, 22, 23, 31, 26, 112, 113, 30, 28, 27, 7, 4, 3, 8, 9, 37, 36, 33, 35, 34, 14, 18, 17, 10, 11, 6, 5, 12, 13, 15, 32, 1, 0, 2, 64, 67, 114, 63, 62, 58, 60, 59, 61, 65, 48, 66, 79, 78, 75, 76, 77, 47, 46, 45, 44, 43, 42, 49, 56, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 50, 57, 51, 52, 80, 81, 94, 93, 92, 95, 98, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 101, 97, 102, 103, 104, 106, 107, 108, 110, 109, 105, 96, 84, 85, 41, 39, 40, 38, 115]","[56, 113, 26, 17, 25, 30, 54, 55, 23, 24, 32, 27, 114, 115, 31, 29, 28, 8, 5, 4, 9, 10, 38, 37, 34, 36, 35, 15, 19, 18, 11, 12, 7, 6, 13, 14, 16, 33, 2, 1, 3, 65, 68, 116, 64, 63, 59, 61, 60, 62, 66, 49, 67, 81, 80, 77, 78, 79, 48, 47, 46, 45, 44, 43, 50, 57, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 51, 58, 52, 53, 82, 83, 96, 95, 94, 97, 100, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 103, 99, 104, 105, 106, 108, 109, 110, 112, 111, 107, 98, 86, 87, 42, 40, 41, 39, 117]",9245.865234375,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.255539208650589,0.03973865881562233,0.03675461933016777,0.033065807074308395,0.11935624480247498
21,single_active_region_search,state,1,0,1,1,1,prior,0.0,1,-7.882931232452393,-7.882931232452393,44.408398151397705,100.93912353515626,0.1552044153213501,117,0,0,0,0,1,[0],117,"[113, 53, 69, 112, 55, 54, 68, 71, 31, 26, 73, 72, 116, 74, 75, 76, 78, 77, 79, 67, 114, 64, 63, 62, 58, 60, 59, 61, 65, 48, 66, 27, 28, 30, 16, 111, 29, 37, 36, 33, 35, 34, 14, 18, 17, 7, 4, 3, 8, 9, 10, 11, 6, 5, 22, 23, 24, 25, 70, 12, 13, 15, 32, 1, 0, 2, 47, 46, 45, 44, 43, 42, 49, 56, 21, 20, 19, 50, 57, 51, 52, 80, 81, 94, 93, 92, 95, 98, 101, 102, 103, 104, 106, 107, 108, 110, 109, 105, 97, 91, 90, 87, 83, 82, 86, 100, 99, 88, 89, 96, 84, 85, 41, 39, 40, 38, 115]","[115, 54, 71, 114, 56, 55, 70, 73, 32, 27, 75, 74, 118, 76, 77, 78, 80, 79, 81, 68, 116, 65, 64, 63, 59, 61, 60, 62, 66, 49, 67, 28, 29, 31, 17, 113, 30, 38, 37, 34, 36, 35, 15, 19, 18, 8, 5, 4, 9, 10, 11, 12, 7, 6, 23, 24, 25, 26, 72, 13, 14, 16, 33, 2, 1, 3, 48, 47, 46, 45, 44, 43, 50, 57, 22, 21, 20, 51, 58, 52, 53, 82, 83, 96, 95, 94, 97, 100, 103, 104, 105, 106, 108, 109, 110, 112, 111, 107, 99, 93, 92, 89, 85, 84, 88, 102, 101, 90, 91, 98, 86, 87, 42, 40, 41, 39, 117]",9245.8642578125,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.31105872988700867,0.028610974550247192,0.04162729158997536,0.0370626263320446,0.11935625225305557
24,single_active_region_search,state,1,0,1,1,1,prior,0.0,0,18.758899688720703,18.758899688720703,40.491519927978516,103.28059082031251,0.1552044302225113,117,0,0,0,0,1,[0],117,"[35, 107, 6, 34, 106, 5, 33, 36, 11, 10, 4, 3, 103, 102, 7, 8, 9, 108, 101, 98, 104, 110, 109, 29, 16, 37, 105, 111, 14, 18, 17, 92, 93, 94, 80, 81, 75, 76, 78, 77, 95, 79, 67, 114, 64, 63, 62, 60, 59, 58, 61, 65, 48, 66, 55, 53, 54, 97, 91, 90, 87, 83, 82, 86, 88, 89, 100, 99, 96, 47, 46, 45, 44, 43, 42, 49, 56, 84, 85, 12, 13, 15, 32, 1, 0, 2, 25, 24, 22, 23, 31, 26, 112, 113, 30, 28, 27, 70, 69, 68, 71, 73, 72, 116, 74, 21, 20, 19, 50, 57, 51, 52, 115, 41, 39, 40, 38]","[36, 109, 7, 35, 108, 6, 34, 37, 12, 11, 5, 4, 105, 104, 8, 9, 10, 110, 103, 100, 106, 112, 111, 30, 17, 38, 107, 113, 15, 19, 18, 94, 95, 96, 82, 83, 77, 78, 80, 79, 97, 81, 68, 116, 65, 64, 63, 61, 60, 59, 62, 66, 49, 67, 56, 54, 55, 99, 93, 92, 89, 85, 84, 88, 90, 91, 102, 101, 98, 48, 47, 46, 45, 44, 43, 50, 57, 86, 87, 13, 14, 16, 33, 2, 1, 3, 26, 25, 23, 24, 32, 27, 114, 115, 31, 29, 28, 72, 71, 70, 73, 75, 74, 118, 76, 22, 21, 20, 51, 58, 52, 53, 117, 42, 40, 41, 39]",9245.865234375,59572.171875,0.5,0.1650800108909607,3.1282050609588623,490,1.0,0.0,1.0,explicit_bus_branch,0.3193276524543762,0.05930517613887787,0.05049169063568115,0.04567074030637741,0.11935625225305557
